,x,y,yaw,yawrate
192,1.4218892957032718,18.351315531437326,13.297621946270594,11.513014516017753
193,1.4441055158188367,18.444808283710056,13.43649956262569,11.57313469625798
194,1.4665488730940712,18.538246770592462,13.576098621143665,11.633254876497912
195,1.4892204108260598,18.631630154800714,13.716419121824527,11.693375056738583
196,1.5121211688687743,18.724957590760383,13.857461064668268,11.753495236978365
197,1.5352521835807937,18.818228224575645,13.999224449674898,11.813615417219184
198,1.558614487772527,18.91144119399885,14.141709276844415,11.873735597459708
199,1.5822091106529372,19.004595628400292,14.284915546176805,11.933855777699195
200,1.6060370777757764,19.09769064873842,14.428843257672085,11.993975957940014
201,1.6300994109853142,19.19072536753024,14.573492411330248,12.05409613818024
202,1.6543971283615735,19.283698888822155,14.718863007151295,12.114216318420615
203,1.6789312441650603,19.37661030816102,14.864955045135227,12.17433649866099
204,1.7037027687810045,19.469458712565665,15.011768525282035,12.234456678900626
205,1.7287127086630838,19.562243180498626,15.159303447591736,12.29457685914174
206,1.7539620662766584,19.654962781838282,15.30755981206432,12.354697039381968
207,1.7794518400414898,19.747616577851375,15.45653761869978,12.414817219621751
